name,F1_rxnormId,F2_rxcui,F2_name,F2_synonym,F2_tty,F3_status,F3_rxcui,F3_ndc,F3_startDate,F3_endDate,Brand Name
lixisenatide,1440051,1803903,{1 (3 ML lixisenatide 0.05 MG/ML Pen Injector [Adlyxin]) / 1 (3 ML lixisenatide 0.1 MG/ML Pen Injector [Adlyxin]) } Pack [Adlyxin Starter Kit],Adlyxin Starter Kit,BPCK,direct,1803903,24574502,201609,202503,Adlyxin
lixisenatide,1440051,1803893,3 ML lixisenatide 0.05 MG/ML Pen Injector [Adlyxin],3 ML Adlyxin 0.05 MG/ML Pen Injector,SBD,direct,1803893,24574101,201609,202401,Adlyxin
lixisenatide,1440051,1803896,3 ML lixisenatide 0.1 MG/ML Pen Injector [Adlyxin],3 ML Adlyxin 0.1 MG/ML Pen Injector,SBD,direct,1803896,24574000,201609,202401,Adlyxin
lixisenatide,1440051,1803896,3 ML lixisenatide 0.1 MG/ML Pen Injector [Adlyxin],3 ML Adlyxin 0.1 MG/ML Pen Injector,SBD,direct,1803896,24574702,201609,202503,Adlyxin
lixisenatide,1440051,1859000,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],Soliqua 100/33 per 3 ML Pen Injector,SBD,direct,1859000,24576101,202001,202503,Soliqua
lixisenatide,1440051,1859000,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],Soliqua 100/33 per 3 ML Pen Injector,SBD,direct,1859000,24576102,202005,202503,Soliqua
lixisenatide,1440051,1859000,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],Soliqua 100/33 per 3 ML Pen Injector,SBD,direct,1859000,24576105,201612,202503,Soliqua
lixisenatide,1440051,1859000,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],Soliqua 100/33 per 3 ML Pen Injector,SBD,direct,1859000,24576302,201702,202503,Soliqua
dulaglutide,1551291,1551300,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 1.5 MG/ML Auto-Injector,SBD,direct,1551300,2143301,201411,202503,Trulicity
dulaglutide,1551291,1551300,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 1.5 MG/ML Auto-Injector,SBD,direct,1551300,2143361,201411,202503,Trulicity
dulaglutide,1551291,1551300,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 1.5 MG/ML Auto-Injector,SBD,direct,1551300,2143380,201411,202503,Trulicity
dulaglutide,1551291,1551300,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 1.5 MG/ML Auto-Injector,SBD,direct,1551300,50090348400,201807,202503,Trulicity
dulaglutide,1551291,1551300,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 1.5 MG/ML Auto-Injector,SBD,direct,1551300,50090645300,202306,202503,Trulicity
dulaglutide,1551291,1551300,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 1.5 MG/ML Auto-Injector,SBD,direct,1551300,54568043363,201711,201801,Trulicity
dulaglutide,1551291,1551300,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 1.5 MG/ML Auto-Injector,SBD,direct,1551300,54568043371,201711,201801,Trulicity
dulaglutide,1551291,1551306,0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 3 MG/ML Auto-Injector,SBD,direct,1551306,2143401,201411,202503,Trulicity
dulaglutide,1551291,1551306,0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 3 MG/ML Auto-Injector,SBD,direct,1551306,2143461,201411,202503,Trulicity
dulaglutide,1551291,1551306,0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 3 MG/ML Auto-Injector,SBD,direct,1551306,2143480,201411,202503,Trulicity
dulaglutide,1551291,1551306,0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 3 MG/ML Auto-Injector,SBD,direct,1551306,50090348300,201807,202503,Trulicity
dulaglutide,1551291,1551306,0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 3 MG/ML Auto-Injector,SBD,direct,1551306,50090645600,202306,202503,Trulicity
dulaglutide,1551291,1551306,0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 3 MG/ML Auto-Injector,SBD,direct,1551306,54568043463,201711,201801,Trulicity
dulaglutide,1551291,1551306,0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 3 MG/ML Auto-Injector,SBD,direct,1551306,54568043471,201711,201801,Trulicity
dulaglutide,1551291,2395779,0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 6 MG/ML Auto-Injector,SBD,direct,2395779,2223601,202010,202503,Trulicity
dulaglutide,1551291,2395779,0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 6 MG/ML Auto-Injector,SBD,direct,2395779,2223661,202103,202503,Trulicity
dulaglutide,1551291,2395779,0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 6 MG/ML Auto-Injector,SBD,direct,2395779,2223680,202010,202503,Trulicity
dulaglutide,1551291,2395779,0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 6 MG/ML Auto-Injector,SBD,direct,2395779,50090546700,202104,202503,Trulicity
dulaglutide,1551291,2395779,0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 6 MG/ML Auto-Injector,SBD,direct,2395779,50090657100,202309,202503,Trulicity
dulaglutide,1551291,2395785,0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 9 MG/ML Auto-Injector,SBD,direct,2395785,2318201,202010,202503,Trulicity
dulaglutide,1551291,2395785,0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 9 MG/ML Auto-Injector,SBD,direct,2395785,2318261,202103,202503,Trulicity
dulaglutide,1551291,2395785,0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],0.5 ML Trulicity 9 MG/ML Auto-Injector,SBD,direct,2395785,2318280,202010,202503,Trulicity
semaglutide,1991302,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","OZEMPIC 2 MG per 1.5 ML Pen Injector, 0.25 or 0.5 MG Dose",SBD,direct,1991311,169413211,201801,202503,Ozempic
semaglutide,1991302,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","OZEMPIC 2 MG per 1.5 ML Pen Injector, 0.25 or 0.5 MG Dose",SBD,direct,1991311,169413212,201801,202503,Ozempic
semaglutide,1991302,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","OZEMPIC 2 MG per 1.5 ML Pen Injector, 0.25 or 0.5 MG Dose",SBD,direct,1991311,169413290,201801,202503,Ozempic
semaglutide,1991302,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","OZEMPIC 2 MG per 1.5 ML Pen Injector, 0.25 or 0.5 MG Dose",SBD,direct,1991311,169413297,201801,202503,Ozempic
semaglutide,1991302,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","OZEMPIC 2 MG per 1.5 ML Pen Injector, 0.25 or 0.5 MG Dose",SBD,direct,1991311,50090513800,202010,202307,Ozempic
semaglutide,1991302,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]","OZEMPIC 2 MG per 1.5 ML Pen Injector, 0.25 or 0.5 MG Dose",SBD,direct,1991311,70518214300,201907,202208,Ozempic
semaglutide,1991302,1991317,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],"OZEMPIC 2 MG per 1.5 ML Pen Injector, 1 MG Dose",SBD,direct,1991317,169413602,201801,202501,Ozempic
semaglutide,1991302,1991317,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],"OZEMPIC 2 MG per 1.5 ML Pen Injector, 1 MG Dose",SBD,direct,1991317,169413611,201801,202503,Ozempic
semaglutide,1991302,1991317,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],"OZEMPIC 2 MG per 1.5 ML Pen Injector, 1 MG Dose",SBD,direct,1991317,50090513900,202102,202307,Ozempic
semaglutide,1991302,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],Rybelsus 14 MG Oral Tablet,SBD,direct,2200650,169431401,201910,202503,Rybelsus
semaglutide,1991302,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],Rybelsus 14 MG Oral Tablet,SBD,direct,2200650,169431413,201910,202503,Rybelsus
semaglutide,1991302,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],Rybelsus 14 MG Oral Tablet,SBD,direct,2200650,169431430,202106,202503,Rybelsus
semaglutide,1991302,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],Rybelsus 3 MG Oral Tablet,SBD,direct,2200654,169430301,201910,202503,Rybelsus
semaglutide,1991302,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],Rybelsus 3 MG Oral Tablet,SBD,direct,2200654,169430313,201910,202503,Rybelsus
semaglutide,1991302,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],Rybelsus 3 MG Oral Tablet,SBD,direct,2200654,169430330,202106,202503,Rybelsus
semaglutide,1991302,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],Rybelsus 3 MG Oral Tablet,SBD,direct,2200654,169430390,201910,202503,Rybelsus
semaglutide,1991302,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],Rybelsus 3 MG Oral Tablet,SBD,direct,2200654,169430393,201910,202503,Rybelsus
semaglutide,1991302,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],Rybelsus 3 MG Oral Tablet,SBD,direct,2200654,169430399,202106,202503,Rybelsus
semaglutide,1991302,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],Rybelsus 7 MG Oral Tablet,SBD,direct,2200658,169430701,201910,202503,Rybelsus
semaglutide,1991302,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],Rybelsus 7 MG Oral Tablet,SBD,direct,2200658,169430713,201910,202503,Rybelsus
semaglutide,1991302,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],Rybelsus 7 MG Oral Tablet,SBD,direct,2200658,169430730,202106,202503,Rybelsus
semaglutide,1991302,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],3 ML Ozempic 1.34 MG/ML Pen Injector,SBD,direct,2398842,169413001,202011,202503,Ozempic
semaglutide,1991302,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],3 ML Ozempic 1.34 MG/ML Pen Injector,SBD,direct,2398842,169413013,202011,202503,Ozempic
semaglutide,1991302,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],3 ML Ozempic 1.34 MG/ML Pen Injector,SBD,direct,2398842,50090594900,202206,202503,Ozempic
semaglutide,1991302,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],Wegovy 0.25 MG per 0.5 ML Auto-Injector,SBD,direct,2553506,169452501,202107,202503,Wegovy
semaglutide,1991302,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],Wegovy 0.25 MG per 0.5 ML Auto-Injector,SBD,direct,2553506,169452514,202107,202503,Wegovy
semaglutide,1991302,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],Wegovy 0.25 MG per 0.5 ML Auto-Injector,SBD,direct,2553506,169452590,202107,202503,Wegovy
semaglutide,1991302,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],Wegovy 0.25 MG per 0.5 ML Auto-Injector,SBD,direct,2553506,169452594,202107,202503,Wegovy
semaglutide,1991302,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],Wegovy 0.25 MG per 0.5 ML Auto-Injector,SBD,direct,2553506,50090582400,202112,202503,Wegovy
semaglutide,1991302,2553603,0.5 ML semaglutide 1 MG/ML Auto-Injector [Wegovy],Wegovy 0.5 MG per 0.5 ML Auto-Injector,SBD,direct,2553603,169450501,202107,202503,Wegovy
semaglutide,1991302,2553603,0.5 ML semaglutide 1 MG/ML Auto-Injector [Wegovy],Wegovy 0.5 MG per 0.5 ML Auto-Injector,SBD,direct,2553603,169450514,202107,202503,Wegovy
semaglutide,1991302,2553803,0.5 ML semaglutide 2 MG/ML Auto-Injector [Wegovy],Wegovy 1 MG per 0.5 ML Auto-Injector,SBD,direct,2553803,169450101,202107,202503,Wegovy
semaglutide,1991302,2553803,0.5 ML semaglutide 2 MG/ML Auto-Injector [Wegovy],Wegovy 1 MG per 0.5 ML Auto-Injector,SBD,direct,2553803,169450114,202107,202503,Wegovy
semaglutide,1991302,2553903,0.75 ML semaglutide 2.27 MG/ML Auto-Injector [Wegovy],Wegovy 1.7 MG per 0.75 ML Auto-Injector,SBD,direct,2553903,169451701,202107,202503,Wegovy
semaglutide,1991302,2553903,0.75 ML semaglutide 2.27 MG/ML Auto-Injector [Wegovy],Wegovy 1.7 MG per 0.75 ML Auto-Injector,SBD,direct,2553903,169451714,202107,202503,Wegovy
semaglutide,1991302,2554104,0.75 ML semaglutide 3.2 MG/ML Auto-Injector [Wegovy],Wegovy 2.4 per 0.75 ML Auto-Injector,SBD,direct,2554104,169452401,202107,202503,Wegovy
semaglutide,1991302,2554104,0.75 ML semaglutide 3.2 MG/ML Auto-Injector [Wegovy],Wegovy 2.4 per 0.75 ML Auto-Injector,SBD,direct,2554104,169452414,202107,202503,Wegovy
semaglutide,1991302,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],Ozempic 8 MG per 3 ML Pen Injector,SBD,direct,2599365,169477211,202205,202503,Ozempic
semaglutide,1991302,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],Ozempic 8 MG per 3 ML Pen Injector,SBD,direct,2599365,169477212,202205,202503,Ozempic
semaglutide,1991302,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],Ozempic 8 MG per 3 ML Pen Injector,SBD,direct,2599365,169477290,202207,202503,Ozempic
semaglutide,1991302,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],Ozempic 8 MG per 3 ML Pen Injector,SBD,direct,2599365,169477297,202207,202503,Ozempic
semaglutide,1991302,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],Ozempic 8 MG per 3 ML Pen Injector,SBD,direct,2599365,50090605100,202209,202503,Ozempic
semaglutide,1991302,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]","0.25 MG, 0.5 MG Dose 3 ML Ozempic 0.68 MG/ML Pen Injector",SBD,direct,2619154,169418103,202211,202503,Ozempic
semaglutide,1991302,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]","0.25 MG, 0.5 MG Dose 3 ML Ozempic 0.68 MG/ML Pen Injector",SBD,direct,2619154,169418113,202211,202503,Ozempic
semaglutide,1991302,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]","0.25 MG, 0.5 MG Dose 3 ML Ozempic 0.68 MG/ML Pen Injector",SBD,direct,2619154,169418190,202211,202503,Ozempic
semaglutide,1991302,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]","0.25 MG, 0.5 MG Dose 3 ML Ozempic 0.68 MG/ML Pen Injector",SBD,direct,2619154,169418197,202211,202503,Ozempic
liraglutide,475968,1598268,3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],3 ML Saxenda 6 MG/ML Pen Injector,SBD,direct,1598268,169280013,201502,201610,Saxenda
liraglutide,475968,1598268,3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],3 ML Saxenda 6 MG/ML Pen Injector,SBD,direct,1598268,169280015,201502,202503,Saxenda
liraglutide,475968,1598268,3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],3 ML Saxenda 6 MG/ML Pen Injector,SBD,direct,1598268,169280090,201502,202503,Saxenda
liraglutide,475968,1598268,3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],3 ML Saxenda 6 MG/ML Pen Injector,SBD,direct,1598268,169280097,201505,202503,Saxenda
liraglutide,475968,1598268,3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],3 ML Saxenda 6 MG/ML Pen Injector,SBD,direct,1598268,50090425700,202007,202503,Saxenda
liraglutide,475968,1860172,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],Xultophy (insulin degludec 100 UNT / liraglutide 3.6 MG/ML) per 3 ML Pen Injector,SBD,direct,1860172,169291115,201701,202503,Xultophy
